,instrument,instrument_family,instrument_source,note,pitch,qualities,velocity
keyboard_acoustic_004-060-025,327,4,0,278915,60,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_033-050-100,417,0,2,270361,50,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_009-052-050,150,0,2,270001,52,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",50
keyboard_electronic_003-064-127,65,4,1,50978,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_034-030-050,420,0,2,265159,30,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",50
bass_synthetic_098-040-025,803,0,2,254242,40,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_009-083-075,150,0,2,25301,83,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",75
mallet_acoustic_062-033-075,644,5,0,119907,33,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",75
organ_electronic_113-028-075,958,6,1,245891,28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_098-072-100,905,4,1,261635,72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_028-053-127,440,6,1,198410,53,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_016-062-127,128,1,0,73701,62,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_001-086-025,40,4,1,216922,86,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_134-091-127,914,0,2,220033,91,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",127
organ_electronic_001-039-100,8,6,1,280884,39,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_015-089-050,316,3,0,77294,89,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",50
bass_synthetic_098-048-075,803,0,2,195150,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_009-094-100,150,0,2,282840,94,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",100
string_acoustic_057-085-050,450,8,0,116364,85,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",50
organ_electronic_001-048-075,8,6,1,248381,48,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
brass_acoustic_016-054-025,128,1,0,13617,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_synthetic_000-097-025,577,4,2,233877,97,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",25
organ_electronic_007-024-100,123,6,1,265317,24,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
keyboard_electronic_001-067-075,40,4,1,123519,67,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_003-030-075,65,4,1,201811,30,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_068-099-127,656,0,2,247487,99,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
guitar_acoustic_015-041-127,316,3,0,94112,41,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",127
reed_acoustic_037-039-100,387,7,0,10395,39,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
guitar_acoustic_010-106-127,219,3,0,40025,106,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",127
organ_electronic_028-038-025,440,6,1,299052,38,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
reed_acoustic_023-042-100,224,7,0,134373,42,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100
guitar_electronic_022-080-075,378,3,1,203222,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_057-028-050,701,6,1,101837,28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
brass_acoustic_006-043-127,43,1,0,53343,43,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
reed_acoustic_011-070-075,104,7,0,145506,70,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_033-094-050,417,0,2,263593,94,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_030-062-075,642,3,0,38917,62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",75
guitar_electronic_028-052-025,510,3,1,191266,52,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_068-085-075,656,0,2,178883,85,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_002-068-075,50,4,1,199257,68,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
brass_acoustic_006-081-127,43,1,0,43699,81,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
guitar_electronic_022-056-100,378,3,1,223315,56,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_025-035-100,872,0,1,229362,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
vocal_synthetic_003-104-100,37,10,2,40373,104,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
guitar_acoustic_010-035-050,219,3,0,10479,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
reed_acoustic_023-044-025,224,7,0,55124,44,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",25
keyboard_electronic_001-083-100,40,4,1,26725,83,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",100
keyboard_electronic_002-086-127,50,4,1,137852,86,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
bass_synthetic_009-057-025,150,0,2,18906,57,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",25
bass_electronic_025-061-050,872,0,1,269538,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_113-037-025,958,6,1,299813,37,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_synthetic_000-075-100,577,4,2,285709,75,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",100
keyboard_synthetic_000-076-075,577,4,2,267641,76,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
keyboard_electronic_001-031-075,40,4,1,61896,31,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_002-086-025,50,4,1,290595,86,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
guitar_acoustic_010-038-100,219,3,0,159711,38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_028-049-127,440,6,1,137365,49,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",127
keyboard_electronic_003-051-075,65,4,1,103419,51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
flute_synthetic_000-070-100,82,2,2,122818,70,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_098-042-050,905,4,1,274924,42,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50
bass_electronic_027-059-100,880,0,1,282960,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_104-084-050,921,6,1,210279,84,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_009-090-127,150,0,2,279833,90,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",127
bass_synthetic_135-077-127,927,0,2,264944,77,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_098-060-100,803,0,2,194814,60,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_135-079-025,927,0,2,227659,79,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
mallet_acoustic_062-085-025,644,5,0,98988,85,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",25
guitar_electronic_028-061-127,510,3,1,165712,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_003-033-050,65,4,1,218370,33,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_078-038-050,838,4,1,239973,38,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
flute_synthetic_000-084-050,82,2,2,109802,84,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
brass_acoustic_015-047-075,121,1,0,92527,47,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
string_acoustic_057-062-025,450,8,0,21188,62,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",25
reed_acoustic_011-060-100,104,7,0,108,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_098-041-100,803,0,2,193532,41,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_028-082-050,440,6,1,292281,82,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
brass_acoustic_046-076-100,414,1,0,27717,76,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_069-058-075,805,4,1,279246,58,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
guitar_electronic_022-084-127,378,3,1,181687,84,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
